function,angle_deg,calculator_answer,model_thinking_OFF,error_OFF,pass_OFF,model_thinking_ON,error_ON,pass_ON,tokens_ON,is_pole
cos,33,0.838670567945424,0.83867,5.679454240237192e-07,True,0.83867,5.679454240237192e-07,True,271,False
tan,33,0.6494075931975106,0.64941,2.4068024894186024e-06,True,0.64941,2.4068024894186024e-06,True,190,False
sin,34,0.5591929034707469,0.55919,2.9034707469399734e-06,True,0.55919,2.9034707469399734e-06,True,213,False
cos,34,0.8290375725550416,0.82904,2.4274449583749913e-06,True,0.82904,2.4274449583749913e-06,True,297,False
tan,34,0.6745085168424267,0.67451,1.4831575733120772e-06,True,0.67451,1.4831575733120772e-06,True,271,False
sin,35,0.573576436351046,0.57358,3.563648953930354e-06,True,0.57358,3.563648953930354e-06,True,78,False
cos,35,0.8191520442889918,0.81915,2.0442889917537954e-06,True,0.81915,2.0442889917537954e-06,True,78,False
tan,35,0.7002075382097097,0.70021,2.461790290286814e-06,True,0.70021,2.461790290286814e-06,True,132,False
sin,36,0.5877852522924731,0.58779,4.747707526897571e-06,True,0.58779,4.747707526897571e-06,True,300,False
cos,36,0.8090169943749475,0.80902,3.005625052510119e-06,True,0.80902,3.005625052510119e-06,True,109,False
tan,36,0.7265425280053609,0.72654,2.528005360935559e-06,True,0.72654,2.528005360935559e-06,True,220,False
sin,37,0.6018150231520483,0.60182,4.9768479517542374e-06,True,0.60182,4.9768479517542374e-06,True,373,False
cos,37,0.7986355100472928,0.79864,4.489952707187328e-06,True,0.79864,4.489952707187328e-06,True,328,False
tan,37,0.7535540501027942,0.75355,4.050102794139754e-06,True,0.75355,4.050102794139754e-06,True,211,False
sin,38,0.6156614753256583,0.61566,1.4753256583066587e-06,True,0.61566,1.4753256583066587e-06,True,219,False
cos,38,0.7880107536067219,0.78801,7.536067219149345e-07,True,0.78801,7.536067219149345e-07,True,214,False
tan,38,0.7812856265067174,0.78129,4.373493282638918e-06,True,0.78129,4.373493282638918e-06,True,320,False
sin,39,0.6293203910498374,0.62932,3.9104983740045896e-07,True,0.62932,3.9104983740045896e-07,True,212,False
cos,39,0.7771459614569709,0.77715,4.038543029105668e-06,True,0.77715,4.038543029105668e-06,True,568,False
tan,39,0.809784033195007,0.80978,4.0331950069694145e-06,True,0.80978,4.0331950069694145e-06,True,221,False
sin,40,0.6427876096865393,0.64279,2.3903134607206056e-06,True,0.64279,2.3903134607206056e-06,True,79,False
cos,40,0.766044443118978,0.76604,4.443118977959237e-06,True,0.76604,4.443118977959237e-06,True,139,False
tan,40,0.8390996311772799,0.8391,3.688227200315808e-07,True,0.8391,3.688227200315808e-07,True,256,False
sin,41,0.6560590289905073,0.65606,9.710094927006807e-07,True,0.65606,9.710094927006807e-07,True,153,False
cos,41,0.754709580222772,0.75471,4.197772279779244e-07,True,0.75471,4.197772279779244e-07,True,238,False
tan,41,0.8692867378162267,0.86929,3.26218377333376e-06,True,0.86929,3.26218377333376e-06,True,420,False
sin,42,0.6691306063588582,0.66913,6.063588582350121e-07,True,0.66913,6.063588582350121e-07,True,203,False
cos,42,0.7431448254773942,0.74314,4.825477394221345e-06,True,0.74314,4.825477394221345e-06,True,174,False
tan,42,0.9004040442978399,0.9004,4.044297839955746e-06,True,0.9004,4.044297839955746e-06,True,328,False
sin,43,0.6819983600624985,0.68199,8.360062498491416e-06,False,0.682,1.6399375015740958e-06,True,284,False
cos,43,0.7313537016191705,0.73135,3.701619170515258e-06,True,0.73135,3.701619170515258e-06,True,253,False
tan,43,0.9325150861376618,0.93252,4.91386233825164e-06,True,0.93252,4.91386233825164e-06,True,149,False
sin,44,0.6946583704589973,0.69466,1.6295410028011048e-06,True,0.69466,1.6295410028011048e-06,True,283,False
cos,44,0.7193398003386512,0.71934,1.9966134878757202e-07,True,0.71934,1.9966134878757202e-07,True,405,False
tan,44,0.9656887748070739,0.96569,1.2251929261131167e-06,True,0.96569,1.2251929261131167e-06,True,286,False
sin,45,0.7071067811865475,0.70711,3.218813452554592e-06,True,0.70711,3.218813452554592e-06,True,81,False
cos,45,0.7071067811865476,0.70711,3.2188134524435696e-06,True,0.70711,3.2188134524435696e-06,True,81,False
tan,45,0.9999999999999999,1.0,1.1102230246251565e-16,True,1.0,1.1102230246251565e-16,True,51,False
sin,46,0.7193398003386511,0.71934,1.9966134889859433e-07,True,0.71934,1.9966134889859433e-07,True,320,False
cos,46,0.6946583704589973,0.69466,1.6295410028011048e-06,True,0.69466,1.6295410028011048e-06,True,306,False
tan,46,1.0355303137905696,1.03553,3.1379056952829387e-07,True,1.03553,3.1379056952829387e-07,True,205,False
sin,47,0.7313537016191705,0.73135,3.701619170515258e-06,True,0.73135,3.701619170515258e-06,True,246,False
cos,47,0.6819983600624985,0.68199,8.360062498491416e-06,False,0.682,1.6399375015740958e-06,True,326,False
tan,47,1.0723687100246826,1.07237,1.2899753174533402e-06,True,1.07237,1.2899753174533402e-06,True,155,False
sin,48,0.7431448254773942,0.74314,4.825477394221345e-06,True,0.74314,4.825477394221345e-06,True,247,False
cos,48,0.6691306063588582,0.66913,6.063588582350121e-07,True,0.66913,6.063588582350121e-07,True,232,False
tan,48,1.110612514829193,1.11061,2.5148291928900335e-06,True,1.11061,2.5148291928900335e-06,True,312,False
sin,49,0.754709580222772,0.75471,4.197772279779244e-07,True,0.75471,4.197772279779244e-07,True,286,False
cos,49,0.6560590289905073,0.65606,9.710094927006807e-07,True,0.65606,9.710094927006807e-07,True,240,False
tan,49,1.1503684072210094,1.15037,1.5927789904779388e-06,True,1.15037,1.5927789904779388e-06,True,624,False
sin,50,0.766044443118978,0.76604,4.443118977959237e-06,True,0.76604,4.443118977959237e-06,True,166,False
cos,50,0.6427876096865394,0.64279,2.3903134606095833e-06,True,0.64279,2.3903134606095833e-06,True,79,False
tan,50,1.19175359259421,1.19175,3.592594209900213e-06,True,1.19175,3.592594209900213e-06,True,186,False
sin,51,0.7771459614569709,0.77715,4.038543029105668e-06,True,0.77715,4.038543029105668e-06,True,377,False
cos,51,0.6293203910498375,0.62932,3.9104983751148126e-07,True,0.62932,3.9104983751148126e-07,True,235,False
tan,51,1.2348971565350515,1.2349,2.843464948609764e-06,True,1.2349,2.843464948609764e-06,True,920,False
sin,52,0.788010753606722,0.78801,7.536067220259568e-07,True,0.78801,7.536067220259568e-07,True,212,False
cos,52,0.6156614753256583,0.61566,1.4753256583066587e-06,True,0.61566,1.4753256583066587e-06,True,266,False
tan,52,1.2799416321930788,1.27994,1.6321930786933336e-06,True,1.27994,1.6321930786933336e-06,True,261,False
sin,53,0.7986355100472928,0.79864,4.489952707187328e-06,True,0.79864,4.489952707187328e-06,True,330,False
cos,53,0.6018150231520484,0.60182,4.976847951643215e-06,True,0.60182,4.976847951643215e-06,True,245,False
tan,53,1.3270448216204098,1.32704,4.821620409822813e-06,True,1.32704,4.821620409822813e-06,True,373,False
sin,54,0.8090169943749475,0.80902,3.005625052510119e-06,True,0.80902,3.005625052510119e-06,True,100,False
cos,54,0.5877852522924731,0.58779,4.747707526897571e-06,True,0.58779,4.747707526897571e-06,True,291,False
tan,54,1.3763819204711734,1.37638,1.9204711734222e-06,True,1.37638,1.9204711734222e-06,True,219,False
sin,55,0.8191520442889918,0.81915,2.0442889917537954e-06,True,0.81915,2.0442889917537954e-06,True,78,False
cos,55,0.5735764363510462,0.57358,3.5636489538193317e-06,True,0.57358,3.5636489538193317e-06,True,78,False
tan,55,1.4281480067421144,1.42815,1.9932578856352023e-06,True,1.42815,1.9932578856352023e-06,True,197,False
sin,56,0.8290375725550417,0.82904,2.427444958263969e-06,True,0.82904,2.427444958263969e-06,True,209,False
cos,56,0.5591929034707468,0.55919,2.903470746828951e-06,True,0.55919,2.903470746828951e-06,True,222,False
tan,56,1.4825609685127403,1.48256,9.685127402292437e-07,True,1.48256,9.685127402292437e-07,True,378,False
sin,57,0.838670567945424,0.83867,5.679454240237192e-07,True,0.83867,5.679454240237192e-07,True,1012,False
cos,57,0.5446390350150271,0.54464,9.649849729287396e-07,True,0.54464,9.649849729287396e-07,True,164,False
tan,57,1.539864963814583,1.53986,4.9638145829256075e-06,True,1.53986,4.9638145829256075e-06,True,306,False
sin,58,0.848048096156426,0.84805,1.9038435740137416e-06,True,0.84805,1.9038435740137416e-06,True,250,False
cos,58,0.5299192642332049,0.52992,7.357667950458335e-07,True,0.52992,7.357667950458335e-07,True,297,False
tan,58,1.6003345290410507,1.60033,4.529041050638227e-06,True,1.60033,4.529041050638227e-06,True,289,False
sin,59,0.8571673007021123,0.85717,2.6992978876538842e-06,True,0.85717,2.6992978876538842e-06,True,615,False
cos,59,0.5150380749100542,0.51504,1.9250899458977955e-06,True,0.51504,1.9250899458977955e-06,True,419,False
tan,59,1.6642794823505183,1.66428,5.176494817238364e-07,True,1.66428,5.176494817238364e-07,True,680,False
sin,60,0.8660254037844386,0.86603,4.59621556136991e-06,True,0.86603,4.59621556136991e-06,True,88,False
cos,60,0.5000000000000001,0.5,1.1102230246251565e-16,True,0.5,1.1102230246251565e-16,True,72,False
tan,60,1.7320508075688767,1.73205,8.07568876659559e-07,True,1.73205,8.07568876659559e-07,True,135,False
sin,61,0.8746197071393957,0.87462,2.928606042118531e-07,True,0.87462,2.928606042118531e-07,True,149,False
cos,61,0.4848096202463371,0.48481,3.797536629046583e-07,True,0.48481,3.797536629046583e-07,True,269,False
tan,61,1.8040477552714236,1.80404,7.755271423492971e-06,False,1.80405,2.2447285763504965e-06,True,289,False
sin,62,0.8829475928589269,0.88295,2.4071410731352216e-06,True,0.88295,2.4071410731352216e-06,True,300,False
cos,62,0.46947156278589086,0.46947,1.5627858908628944e-06,True,0.46947,1.5627858908628944e-06,True,219,False
tan,62,1.8807264653463318,1.88073,3.534653668202381e-06,True,1.88073,3.534653668202381e-06,True,402,False
sin,63,0.8910065241883678,0.89101,3.475811632180914e-06,True,0.89101,3.475811632180914e-06,True,246,False
cos,63,0.4539904997395468,0.45399,4.997395467998267e-07,True,0.45399,4.997395467998267e-07,True,221,False
tan,63,1.9626105055051504,1.96261,5.05505150405483e-07,True,1.96261,5.05505150405483e-07,True,668,False
sin,64,0.898794046299167,0.89879,4.046299167059786e-06,True,0.89879,4.046299167059786e-06,True,216,False
cos,64,0.43837114678907746,0.43837,1.1467890774774503e-06,True,0.43837,1.1467890774774503e-06,True,223,False
tan,64,2.050303841579296,2.0503,3.8415792960044826e-06,True,2.0503,3.8415792960044826e-06,True,267,False
sin,65,0.9063077870366499,0.90631,2.212963350012309e-06,True,0.90631,2.212963350012309e-06,True,78,False
cos,65,0.42261826174069944,0.42262,1.738259300554379e-06,True,0.42262,1.738259300554379e-06,True,79,False
tan,65,2.1445069205095586,2.14451,3.0794904413156132e-06,True,2.14451,3.0794904413156132e-06,True,247,False
sin,66,0.9135454576426009,0.91355,4.542357399106578e-06,True,0.91355,4.542357399106578e-06,True,276,False
cos,66,0.4067366430758002,0.40674,3.356924199782174e-06,True,0.40674,3.356924199782174e-06,True,226,False
tan,66,2.2460367739042164,2.14451,0.1015267739042165,False,3.377288767e-05,2.2460030010165464,False,2048,False
sin,67,0.9205048534524404,0.9205,4.853452440389816e-06,True,0.9205,4.853452440389816e-06,True,250,False
cos,67,0.3907311284892737,0.39073,1.1284892736940222e-06,True,0.39073,1.1284892736940222e-06,True,216,False
tan,67,2.355852365823753,2.35585,2.3658237529033954e-06,True,2.35585,2.3658237529033954e-06,True,294,False
sin,68,0.9271838545667874,0.92718,3.854566787420133e-06,True,0.92718,3.854566787420133e-06,True,213,False
cos,68,0.37460659341591196,0.37461,3.4065840880392884e-06,True,0.37461,3.4065840880392884e-06,True,216,False
tan,68,2.4750868534162964,2.47509,3.1465837033728405e-06,True,2.47509,3.1465837033728405e-06,True,270,False
sin,69,0.9335804264972017,0.93358,4.264972017775648e-07,True,0.93358,4.264972017775648e-07,True,237,False
cos,69,0.3583679495453004,0.35837,2.05045469964249e-06,True,0.35837,2.05045469964249e-06,True,157,False
tan,69,2.6050890646938005,2.60509,9.35306199600916e-07,True,0.004,2.6010890646938005,False,2048,False
sin,70,0.9396926207859083,0.93969,2.620785908291623e-06,True,0.93969,2.620785908291623e-06,True,128,False
cos,70,0.3420201433256688,0.34202,1.433256688332385e-07,True,0.34202,1.433256688332385e-07,True,79,False
tan,70,2.7474774194546216,2.74748,2.5805453782723475e-06,True,2.74748,2.5805453782723475e-06,True,101,False
sin,71,0.9455185755993167,0.94552,1.4244006832919709e-06,True,0.94552,1.4244006832919709e-06,True,106,False
cos,71,0.32556815445715676,0.32557,1.8455428432706533e-06,True,0.32557,1.8455428432706533e-06,True,287,False
tan,71,2.904210877675822,2.90421,8.776758222417413e-07,True,2.90421,8.776758222417413e-07,True,234,False
sin,72,0.9510565162951535,0.95106,3.4837048464853027e-06,True,0.95106,3.4837048464853027e-06,True,78,False
cos,72,0.30901699437494745,0.30902,3.0056250525656303e-06,True,0.30902,3.0056250525656303e-06,True,77,False
tan,72,3.077683537175253,3.07768,3.537175253143232e-06,True,3.07768,3.537175253143232e-06,True,244,False
sin,73,0.9563047559630354,0.9563,4.755963035396604e-06,True,0.9563,4.755963035396604e-06,True,227,False
cos,73,0.29237170472273677,0.29237,1.7047227367505968e-06,True,0.29237,1.7047227367505968e-06,True,232,False
tan,73,3.2708526184841404,3.27085,2.618484140626265e-06,True,3.27085,2.618484140626265e-06,True,731,False
sin,74,0.9612616959383189,0.96126,1.6959383188908106e-06,True,0.96126,1.6959383188908106e-06,True,222,False
cos,74,0.27563735581699916,0.27564,2.6441830008328004e-06,True,0.27564,2.6441830008328004e-06,True,350,False
tan,74,3.4874144438409087,3.48741,4.443840908585628e-06,True,7.73e-05,3.4873371438409086,False,2048,False
sin,75,0.9659258262890683,0.96593,4.173710931643093e-06,True,0.96593,4.173710931643093e-06,True,85,False
cos,75,0.25881904510252074,0.25882,9.548974792550347e-07,True,0.25882,9.548974792550347e-07,True,86,False
tan,75,3.7320508075688776,3.73205,8.075688775477374e-07,True,3.73205,8.075688775477374e-07,True,238,False
sin,76,0.9702957262759965,0.9703,4.273724003578394e-06,True,0.9703,4.273724003578394e-06,True,344,False
cos,76,0.24192189559966767,1.2349,0.9929781044003324,False,0.24192,1.8955996676783826e-06,True,231,False
tan,76,4.0107809335358455,4.01078,9.335358459594545e-07,True,0.00934856,4.001432373535845,False,2048,False
sin,77,0.9743700647852352,0.97437,6.478523528752334e-08,True,0.97437,6.478523528752334e-08,True,239,False
cos,77,0.22495105434386492,0.22495,1.054343864909102e-06,True,0.22495,1.054343864909102e-06,True,319,False
tan,77,4.331475874284157,4.33148,4.125715842739908e-06,True,5.0,0.6685241257158427,False,2048,False
sin,78,0.9781476007338056,0.97815,2.3992661943861293e-06,True,0.97815,2.3992661943861293e-06,True,153,False
cos,78,0.20791169081775945,0.20791,1.6908177594421314e-06,True,0.20791,1.6908177594421314e-06,True,170,False
tan,78,4.704630109478451,4.70463,1.0947845119346766e-07,True,4.7046301095,2.154898481876444e-11,False,2048,False
sin,79,0.981627183447664,0.98163,2.816552336026845e-06,True,0.98163,2.816552336026845e-06,True,205,False
cos,79,0.19080899537654492,0.19081,1.004623455092002e-06,True,0.19081,1.004623455092002e-06,True,153,False
tan,79,5.144554015970307,5.14455,4.015970307413852e-06,True,5.14455,4.015970307413852e-06,True,282,False
sin,80,0.984807753012208,0.98481,2.2469877919428782e-06,True,0.98481,2.2469877919428782e-06,True,78,False
cos,80,0.17364817766693041,0.17365,1.8223330695843476e-06,True,0.17365,1.8223330695843476e-06,True,88,False
tan,80,5.671281819617707,5.67128,1.8196177062890229e-06,True,5.67128,1.8196177062890229e-06,True,215,False
sin,81,0.9876883405951378,0.98769,1.6594048621865198e-06,True,0.98769,1.6594048621865198e-06,True,207,False
cos,81,0.15643446504023092,0.15643,4.465040230910988e-06,True,0.15643,4.465040230910988e-06,True,218,False
tan,81,6.313751514675041,6.31375,1.5146750413919108e-06,True,6.31375,1.5146750413919108e-06,True,292,False
sin,82,0.9902680687415704,0.99027,1.9312584296216073e-06,True,0.99027,1.9312584296216073e-06,True,261,False
cos,82,0.13917310096006547,0.13917,3.1009600654774427e-06,True,0.13917,3.1009600654774427e-06,True,186,False
tan,82,7.115369722384207,11.43005,4.314680277615793,False,7.11537,2.776157934647472e-07,True,150,False
sin,83,0.992546151641322,0.99255,3.848358678060215e-06,True,0.99255,3.848358678060215e-06,True,312,False
cos,83,0.12186934340514749,11.49334,11.371470656594852,False,0.12187,6.565948525161236e-07,True,137,False
tan,83,8.144346427974593,11.43005,3.2857035720254064,False,8.14435,3.572025406128887e-06,True,479,False
sin,84,0.9945218953682733,0.99452,1.8953682733302557e-06,True,0.99452,1.8953682733302557e-06,True,195,False
cos,84,0.10452846326765346,0.10453,1.5367323465409477e-06,True,0.10453,1.5367323465409477e-06,True,101,False
tan,84,9.514364454222587,9.51436,4.454222587213508e-06,True,9.51436,4.454222587213508e-06,True,276,False
