experiment,thinking,function,angle_deg,model_answer,calculator_answer,abs_error,verdict,within_0.001,decimals_given,format_exactly_5dp,tokens_generated,token_cap,raw_text
1-degree sweep,OFF,sin,8,0.13917,0.13917310096006544,3.100960065449687e-06,PASS,yes,5.0,True,8,24,0.13917
1-degree sweep,OFF,cos,8,0.99027,0.9902680687415704,1.9312584296216073e-06,PASS,yes,5.0,True,8,24,0.99027
1-degree sweep,OFF,tan,8,1.40541,0.14054083470239145,1.2648691652976085,FAIL,no,5.0,True,8,24,1.40541
1-degree sweep,OFF,sin,9,0.15643,0.15643446504023087,4.465040230855477e-06,PASS,yes,5.0,True,8,24,0.15643
1-degree sweep,OFF,cos,9,0.98769,0.9876883405951378,1.6594048621865198e-06,PASS,yes,5.0,True,8,24,0.98769
1-degree sweep,OFF,tan,9,0.15838,0.15838444032453627,4.440324536281182e-06,PASS,yes,5.0,True,8,24,0.15838
1-degree sweep,OFF,sin,10,0.17365,0.17364817766693033,1.8223330696676143e-06,PASS,yes,5.0,True,8,24,0.17365
1-degree sweep,OFF,cos,10,0.98481,0.984807753012208,2.2469877919428782e-06,PASS,yes,5.0,True,8,24,0.98481
1-degree sweep,OFF,tan,10,0.17633,0.17632698070846498,3.019291535011348e-06,PASS,yes,5.0,True,8,24,0.17633
1-degree sweep,OFF,sin,11,0.19081,0.1908089953765448,1.0046234552030242e-06,PASS,yes,5.0,True,8,24,0.19081
1-degree sweep,OFF,cos,11,0.98163,0.981627183447664,2.816552336026845e-06,PASS,yes,5.0,True,8,24,0.98163
1-degree sweep,OFF,tan,11,0.19438,0.19438030913771848,3.0913771847940197e-07,PASS,yes,5.0,True,8,24,0.19438
1-degree sweep,OFF,sin,12,0.20791,0.20791169081775934,1.6908177593311091e-06,PASS,yes,5.0,True,8,24,0.20791
1-degree sweep,OFF,cos,12,0.97815,0.9781476007338057,2.399266194275107e-06,PASS,yes,5.0,True,8,24,0.97815
1-degree sweep,OFF,tan,12,0.21256,0.21255656167002213,3.438329977872856e-06,PASS,yes,5.0,True,8,24,0.21256
1-degree sweep,OFF,sin,13,0.22495,0.224951054343865,1.0543438649923687e-06,PASS,yes,5.0,True,8,24,0.22495
1-degree sweep,OFF,cos,13,0.97437,0.9743700647852352,6.478523528752334e-08,PASS,yes,5.0,True,8,24,0.97437
1-degree sweep,OFF,tan,13,0.23087,0.23086819112556312,1.8088744368760512e-06,PASS,yes,5.0,True,8,24,0.23087
1-degree sweep,OFF,sin,14,0.24192,0.24192189559966773,1.8955996677338938e-06,PASS,yes,5.0,True,8,24,0.24192
1-degree sweep,OFF,cos,14,0.9703,0.9702957262759965,4.273724003578394e-06,PASS,yes,5.0,True,8,24,0.97030
1-degree sweep,OFF,tan,14,0.24933,0.24932800284318068,1.997156819311119e-06,PASS,yes,5.0,True,8,24,0.24933
1-degree sweep,OFF,sin,15,0.25882,0.25881904510252074,9.548974792550347e-07,PASS,yes,5.0,True,8,24,0.25882
1-degree sweep,OFF,cos,15,0.96593,0.9659258262890683,4.173710931643093e-06,PASS,yes,5.0,True,8,24,0.96593
1-degree sweep,OFF,tan,15,0.26795,0.2679491924311227,8.075688773256928e-07,PASS,yes,5.0,True,8,24,0.26795
1-degree sweep,OFF,sin,16,0.27564,0.27563735581699916,2.6441830008328004e-06,PASS,yes,5.0,True,8,24,0.27564
1-degree sweep,OFF,cos,16,0.96126,0.9612616959383189,1.6959383188908106e-06,PASS,yes,5.0,True,8,24,0.96126
1-degree sweep,OFF,tan,16,0.28675,0.2867453857588079,4.614241192080204e-06,PASS,yes,5.0,True,8,24,0.28675
1-degree sweep,OFF,sin,17,0.29237,0.29237170472273677,1.7047227367505968e-06,PASS,yes,5.0,True,8,24,0.29237
1-degree sweep,OFF,cos,17,0.9563,0.9563047559630354,4.755963035396604e-06,PASS,yes,5.0,True,8,24,0.95630
1-degree sweep,OFF,tan,17,0.30573,0.3057306814586604,6.814586603898221e-07,PASS,yes,5.0,True,8,24,0.30573
1-degree sweep,OFF,sin,18,0.30902,0.3090169943749474,3.0056250526211414e-06,PASS,yes,5.0,True,8,24,0.30902
1-degree sweep,OFF,cos,18,0.95106,0.9510565162951535,3.4837048464853027e-06,PASS,yes,5.0,True,8,24,0.95106
1-degree sweep,OFF,tan,18,0.32492,0.3249196962329063,3.037670937011683e-07,PASS,yes,5.0,True,8,24,0.32492
1-degree sweep,OFF,sin,19,0.32557,0.3255681544571567,1.8455428433261645e-06,PASS,yes,5.0,True,8,24,0.32557
1-degree sweep,OFF,cos,19,0.94552,0.9455185755993168,1.4244006831809486e-06,PASS,yes,5.0,True,8,24,0.94552
1-degree sweep,OFF,tan,19,0.34433,0.34432761328966527,2.386710334756348e-06,PASS,yes,5.0,True,8,24,0.34433
1-degree sweep,OFF,sin,20,0.34202,0.3420201433256687,1.433256687222162e-07,PASS,yes,5.0,True,8,24,0.34202
1-degree sweep,OFF,cos,20,0.93969,0.9396926207859084,2.6207859084026452e-06,PASS,yes,5.0,True,8,24,0.93969
1-degree sweep,OFF,tan,20,0.36397,0.36397023426620234,2.3426620232580575e-07,PASS,yes,5.0,True,8,24,0.36397
1-degree sweep,OFF,sin,21,0.35837,0.35836794954530027,2.0504546997535122e-06,PASS,yes,5.0,True,8,24,0.35837
1-degree sweep,OFF,cos,21,0.93358,0.9335804264972017,4.264972017775648e-07,PASS,yes,5.0,True,8,24,0.93358
1-degree sweep,OFF,tan,21,0.38386,0.3838640350354158,4.035035415794752e-06,PASS,yes,5.0,True,8,24,0.38386
1-degree sweep,OFF,sin,22,0.37461,0.374606593415912,3.406584087983777e-06,PASS,yes,5.0,True,8,24,0.37461
1-degree sweep,OFF,cos,22,0.92718,0.9271838545667874,3.854566787420133e-06,PASS,yes,5.0,True,8,24,0.92718
1-degree sweep,OFF,tan,22,0.40403,0.4040262258351568,3.7741648432065844e-06,PASS,yes,5.0,True,8,24,0.40403
1-degree sweep,OFF,sin,23,0.39073,0.39073112848927377,1.1284892737495333e-06,PASS,yes,5.0,True,8,24,0.39073
1-degree sweep,OFF,cos,23,0.9205,0.9205048534524404,4.853452440389816e-06,PASS,yes,5.0,True,8,24,0.92050
1-degree sweep,OFF,tan,23,0.42447,0.42447481620960476,4.816209604741051e-06,PASS,yes,5.0,True,8,24,0.42447
1-degree sweep,OFF,sin,24,0.40674,0.4067366430758002,3.356924199782174e-06,PASS,yes,5.0,True,8,24,0.40674
1-degree sweep,OFF,cos,24,0.91355,0.9135454576426009,4.542357399106578e-06,PASS,yes,5.0,True,8,24,0.91355
1-degree sweep,OFF,tan,24,0.44523,0.4452286853085362,1.31469146380514e-06,PASS,yes,5.0,True,8,24,0.44523
1-degree sweep,OFF,sin,25,0.42262,0.42261826174069944,1.738259300554379e-06,PASS,yes,5.0,True,8,24,0.42262
1-degree sweep,OFF,cos,25,0.90631,0.9063077870366499,2.212963350012309e-06,PASS,yes,5.0,True,8,24,0.90631
1-degree sweep,OFF,tan,25,0.46631,0.4663076581549986,2.341845001418985e-06,PASS,yes,5.0,True,8,24,0.46631
1-degree sweep,OFF,sin,26,0.43837,0.4383711467890774,1.1467890774219391e-06,PASS,yes,5.0,True,8,24,0.43837
1-degree sweep,OFF,cos,26,0.89879,0.898794046299167,4.046299167059786e-06,PASS,yes,5.0,True,8,24,0.89879
1-degree sweep,OFF,tan,26,0.48773,0.48773258856586144,2.588565861438852e-06,PASS,yes,5.0,True,8,24,0.48773
1-degree sweep,OFF,sin,27,0.45399,0.45399049973954675,4.997395467443155e-07,PASS,yes,5.0,True,8,24,0.45399
1-degree sweep,OFF,cos,27,0.89101,0.8910065241883679,3.4758116320698917e-06,PASS,yes,5.0,True,8,24,0.89101
1-degree sweep,OFF,tan,27,0.50953,0.5095254494944288,4.5505055712435905e-06,PASS,yes,5.0,True,8,24,0.50953
1-degree sweep,OFF,sin,28,0.46947,0.4694715627858908,1.5627858908073833e-06,PASS,yes,5.0,True,8,24,0.46947
1-degree sweep,OFF,cos,28,0.88295,0.882947592858927,2.4071410730241993e-06,PASS,yes,5.0,True,8,24,0.88295
1-degree sweep,OFF,tan,28,0.53171,0.5317094316614788,5.683385212451597e-07,PASS,yes,5.0,True,8,24,0.53171
1-degree sweep,OFF,sin,29,0.48481,0.48480962024633706,3.7975366296016944e-07,PASS,yes,5.0,True,8,24,0.48481
1-degree sweep,OFF,cos,29,0.87462,0.8746197071393957,2.928606042118531e-07,PASS,yes,5.0,True,8,24,0.87462
1-degree sweep,OFF,tan,29,0.55431,0.554309051452769,9.485472309833654e-07,PASS,yes,5.0,True,8,24,0.55431
1-degree sweep,OFF,sin,30,0.5,0.49999999999999994,5.551115123125783e-17,PASS,yes,5.0,True,8,24,0.50000
1-degree sweep,OFF,cos,30,0.86603,0.8660254037844387,4.596215561258887e-06,PASS,yes,5.0,True,8,24,0.86603
1-degree sweep,OFF,tan,30,0.57735,0.5773502691896257,2.6918962570121607e-07,PASS,yes,5.0,True,8,24,0.57735
1-degree sweep,OFF,sin,31,0.51504,0.5150380749100542,1.9250899458977955e-06,PASS,yes,5.0,True,8,24,0.51504
1-degree sweep,OFF,cos,31,0.85717,0.8571673007021123,2.6992978876538842e-06,PASS,yes,5.0,True,8,24,0.85717
1-degree sweep,OFF,tan,31,0.60086,0.6008606190275604,6.190275604334161e-07,PASS,yes,5.0,True,8,24,0.60086
1-degree sweep,OFF,sin,32,0.52992,0.5299192642332049,7.357667950458335e-07,PASS,yes,5.0,True,8,24,0.52992
1-degree sweep,OFF,cos,32,0.84805,0.848048096156426,1.9038435740137416e-06,PASS,yes,5.0,True,8,24,0.84805
1-degree sweep,OFF,tan,32,0.62487,0.6248693519093275,6.480906725725433e-07,PASS,yes,5.0,True,8,24,0.62487
1-degree sweep,OFF,sin,33,0.54464,0.5446390350150271,9.649849729287396e-07,PASS,yes,5.0,True,8,24,0.54464
1-degree sweep,OFF,cos,33,0.83867,0.838670567945424,5.679454240237192e-07,PASS,yes,5.0,True,8,24,0.83867
1-degree sweep,OFF,tan,33,0.64941,0.6494075931975106,2.4068024894186024e-06,PASS,yes,5.0,True,8,24,0.64941
1-degree sweep,OFF,sin,34,0.55919,0.5591929034707469,2.9034707469399734e-06,PASS,yes,5.0,True,8,24,0.55919
1-degree sweep,OFF,cos,34,0.82904,0.8290375725550416,2.4274449583749913e-06,PASS,yes,5.0,True,8,24,0.82904
1-degree sweep,OFF,tan,34,0.67451,0.6745085168424267,1.4831575733120772e-06,PASS,yes,5.0,True,8,24,0.67451
1-degree sweep,OFF,sin,35,0.57358,0.573576436351046,3.563648953930354e-06,PASS,yes,5.0,True,8,24,0.57358
1-degree sweep,OFF,cos,35,0.81915,0.8191520442889918,2.0442889917537954e-06,PASS,yes,5.0,True,8,24,0.81915
1-degree sweep,OFF,tan,35,0.70021,0.7002075382097097,2.461790290286814e-06,PASS,yes,5.0,True,8,24,0.70021
1-degree sweep,OFF,sin,36,0.58779,0.5877852522924731,4.747707526897571e-06,PASS,yes,5.0,True,8,24,0.58779
1-degree sweep,OFF,cos,36,0.80902,0.8090169943749475,3.005625052510119e-06,PASS,yes,5.0,True,8,24,0.80902
1-degree sweep,OFF,tan,36,0.72654,0.7265425280053609,2.528005360935559e-06,PASS,yes,5.0,True,8,24,0.72654
1-degree sweep,OFF,sin,37,0.60182,0.6018150231520483,4.9768479517542374e-06,PASS,yes,5.0,True,8,24,0.60182
1-degree sweep,OFF,cos,37,0.79864,0.7986355100472928,4.489952707187328e-06,PASS,yes,5.0,True,8,24,0.79864
1-degree sweep,OFF,tan,37,0.75355,0.7535540501027942,4.050102794139754e-06,PASS,yes,5.0,True,8,24,0.75355
1-degree sweep,OFF,sin,38,0.61566,0.6156614753256583,1.4753256583066587e-06,PASS,yes,5.0,True,8,24,0.61566
1-degree sweep,OFF,cos,38,0.78801,0.7880107536067219,7.536067219149345e-07,PASS,yes,5.0,True,8,24,0.78801
1-degree sweep,OFF,tan,38,0.78129,0.7812856265067174,4.373493282638918e-06,PASS,yes,5.0,True,8,24,0.78129
1-degree sweep,OFF,sin,39,0.62932,0.6293203910498374,3.9104983740045896e-07,PASS,yes,5.0,True,8,24,0.62932
1-degree sweep,OFF,cos,39,0.77715,0.7771459614569709,4.038543029105668e-06,PASS,yes,5.0,True,8,24,0.77715
1-degree sweep,OFF,tan,39,0.80978,0.809784033195007,4.0331950069694145e-06,PASS,yes,5.0,True,8,24,0.80978
1-degree sweep,OFF,sin,40,0.64279,0.6427876096865393,2.3903134607206056e-06,PASS,yes,5.0,True,8,24,0.64279
1-degree sweep,OFF,cos,40,0.76604,0.766044443118978,4.443118977959237e-06,PASS,yes,5.0,True,8,24,0.76604
1-degree sweep,OFF,tan,40,0.8391,0.8390996311772799,3.688227200315808e-07,PASS,yes,5.0,True,8,24,0.83910
1-degree sweep,OFF,sin,41,0.65606,0.6560590289905073,9.710094927006807e-07,PASS,yes,5.0,True,8,24,0.65606
1-degree sweep,OFF,cos,41,0.75471,0.754709580222772,4.197772279779244e-07,PASS,yes,5.0,True,8,24,0.75471
1-degree sweep,OFF,tan,41,0.86929,0.8692867378162267,3.26218377333376e-06,PASS,yes,5.0,True,8,24,0.86929
1-degree sweep,OFF,sin,42,0.66913,0.6691306063588582,6.063588582350121e-07,PASS,yes,5.0,True,8,24,0.66913
1-degree sweep,OFF,cos,42,0.74314,0.7431448254773942,4.825477394221345e-06,PASS,yes,5.0,True,8,24,0.74314
1-degree sweep,OFF,tan,42,0.9004,0.9004040442978399,4.044297839955746e-06,PASS,yes,5.0,True,8,24,0.90040
1-degree sweep,OFF,sin,43,0.68199,0.6819983600624985,8.360062498491416e-06,FAIL,yes,5.0,True,8,24,0.68199
1-degree sweep,OFF,cos,43,0.73135,0.7313537016191705,3.701619170515258e-06,PASS,yes,5.0,True,8,24,0.73135
1-degree sweep,OFF,tan,43,0.93252,0.9325150861376618,4.91386233825164e-06,PASS,yes,5.0,True,8,24,0.93252
1-degree sweep,OFF,sin,44,0.69466,0.6946583704589973,1.6295410028011048e-06,PASS,yes,5.0,True,8,24,0.69466
1-degree sweep,OFF,cos,44,0.71934,0.7193398003386512,1.9966134878757202e-07,PASS,yes,5.0,True,8,24,0.71934
1-degree sweep,OFF,tan,44,0.96569,0.9656887748070739,1.2251929261131167e-06,PASS,yes,5.0,True,8,24,0.96569
1-degree sweep,OFF,sin,45,0.70711,0.7071067811865475,3.218813452554592e-06,PASS,yes,5.0,True,8,24,0.70711
1-degree sweep,OFF,cos,45,0.70711,0.7071067811865476,3.2188134524435696e-06,PASS,yes,5.0,True,8,24,0.70711
1-degree sweep,OFF,tan,45,1.0,0.9999999999999999,1.1102230246251565e-16,PASS,yes,5.0,True,8,24,1.00000
1-degree sweep,OFF,sin,46,0.71934,0.7193398003386511,1.9966134889859433e-07,PASS,yes,5.0,True,8,24,0.71934
1-degree sweep,OFF,cos,46,0.69466,0.6946583704589973,1.6295410028011048e-06,PASS,yes,5.0,True,8,24,0.69466
1-degree sweep,OFF,tan,46,1.03553,1.0355303137905696,3.1379056952829387e-07,PASS,yes,5.0,True,8,24,1.03553
1-degree sweep,OFF,sin,47,0.73135,0.7313537016191705,3.701619170515258e-06,PASS,yes,5.0,True,8,24,0.73135
1-degree sweep,OFF,cos,47,0.68199,0.6819983600624985,8.360062498491416e-06,FAIL,yes,5.0,True,8,24,0.68199
1-degree sweep,OFF,tan,47,1.07237,1.0723687100246826,1.2899753174533402e-06,PASS,yes,5.0,True,8,24,1.07237
1-degree sweep,OFF,sin,48,0.74314,0.7431448254773942,4.825477394221345e-06,PASS,yes,5.0,True,8,24,0.74314
1-degree sweep,OFF,cos,48,0.66913,0.6691306063588582,6.063588582350121e-07,PASS,yes,5.0,True,8,24,0.66913
1-degree sweep,OFF,tan,48,1.11061,1.110612514829193,2.5148291928900335e-06,PASS,yes,5.0,True,8,24,1.11061
1-degree sweep,OFF,sin,49,0.75471,0.754709580222772,4.197772279779244e-07,PASS,yes,5.0,True,8,24,0.75471
1-degree sweep,OFF,cos,49,0.65606,0.6560590289905073,9.710094927006807e-07,PASS,yes,5.0,True,8,24,0.65606
1-degree sweep,OFF,tan,49,1.15037,1.1503684072210094,1.5927789904779388e-06,PASS,yes,5.0,True,8,24,1.15037
1-degree sweep,OFF,sin,50,0.76604,0.766044443118978,4.443118977959237e-06,PASS,yes,5.0,True,8,24,0.76604
1-degree sweep,OFF,cos,50,0.64279,0.6427876096865394,2.3903134606095833e-06,PASS,yes,5.0,True,8,24,0.64279
1-degree sweep,OFF,tan,50,1.19175,1.19175359259421,3.592594209900213e-06,PASS,yes,5.0,True,8,24,1.19175
1-degree sweep,OFF,sin,51,0.77715,0.7771459614569709,4.038543029105668e-06,PASS,yes,5.0,True,8,24,0.77715
1-degree sweep,OFF,cos,51,0.62932,0.6293203910498375,3.9104983751148126e-07,PASS,yes,5.0,True,8,24,0.62932
1-degree sweep,OFF,tan,51,1.2349,1.2348971565350515,2.843464948609764e-06,PASS,yes,5.0,True,8,24,1.23490
1-degree sweep,OFF,sin,52,0.78801,0.788010753606722,7.536067220259568e-07,PASS,yes,5.0,True,8,24,0.78801
1-degree sweep,OFF,cos,52,0.61566,0.6156614753256583,1.4753256583066587e-06,PASS,yes,5.0,True,8,24,0.61566
1-degree sweep,OFF,tan,52,1.27994,1.2799416321930788,1.6321930786933336e-06,PASS,yes,5.0,True,8,24,1.27994
1-degree sweep,OFF,sin,53,0.79864,0.7986355100472928,4.489952707187328e-06,PASS,yes,5.0,True,8,24,0.79864
1-degree sweep,OFF,cos,53,0.60182,0.6018150231520484,4.976847951643215e-06,PASS,yes,5.0,True,8,24,0.60182
1-degree sweep,OFF,tan,53,1.32704,1.3270448216204098,4.821620409822813e-06,PASS,yes,5.0,True,8,24,1.32704
1-degree sweep,OFF,sin,54,0.80902,0.8090169943749475,3.005625052510119e-06,PASS,yes,5.0,True,8,24,0.80902
1-degree sweep,OFF,cos,54,0.58779,0.5877852522924731,4.747707526897571e-06,PASS,yes,5.0,True,8,24,0.58779
1-degree sweep,OFF,tan,54,1.37638,1.3763819204711734,1.9204711734222e-06,PASS,yes,5.0,True,8,24,1.37638
1-degree sweep,OFF,sin,55,0.81915,0.8191520442889918,2.0442889917537954e-06,PASS,yes,5.0,True,8,24,0.81915
1-degree sweep,OFF,cos,55,0.57358,0.5735764363510462,3.5636489538193317e-06,PASS,yes,5.0,True,8,24,0.57358
1-degree sweep,OFF,tan,55,1.42815,1.4281480067421144,1.9932578856352023e-06,PASS,yes,5.0,True,8,24,1.42815
1-degree sweep,OFF,sin,56,0.82904,0.8290375725550417,2.427444958263969e-06,PASS,yes,5.0,True,8,24,0.82904
1-degree sweep,OFF,cos,56,0.55919,0.5591929034707468,2.903470746828951e-06,PASS,yes,5.0,True,8,24,0.55919
1-degree sweep,OFF,tan,56,1.48256,1.4825609685127403,9.685127402292437e-07,PASS,yes,5.0,True,8,24,1.48256
1-degree sweep,OFF,sin,57,0.83867,0.838670567945424,5.679454240237192e-07,PASS,yes,5.0,True,8,24,0.83867
1-degree sweep,OFF,cos,57,0.54464,0.5446390350150271,9.649849729287396e-07,PASS,yes,5.0,True,8,24,0.54464
1-degree sweep,OFF,tan,57,1.53986,1.539864963814583,4.9638145829256075e-06,PASS,yes,5.0,True,8,24,1.53986
1-degree sweep,OFF,sin,58,0.84805,0.848048096156426,1.9038435740137416e-06,PASS,yes,5.0,True,8,24,0.84805
1-degree sweep,OFF,cos,58,0.52992,0.5299192642332049,7.357667950458335e-07,PASS,yes,5.0,True,8,24,0.52992
1-degree sweep,OFF,tan,58,1.60033,1.6003345290410507,4.529041050638227e-06,PASS,yes,5.0,True,8,24,1.60033
1-degree sweep,OFF,sin,59,0.85717,0.8571673007021123,2.6992978876538842e-06,PASS,yes,5.0,True,8,24,0.85717
1-degree sweep,OFF,cos,59,0.51504,0.5150380749100542,1.9250899458977955e-06,PASS,yes,5.0,True,8,24,0.51504
1-degree sweep,OFF,tan,59,1.66428,1.6642794823505183,5.176494817238364e-07,PASS,yes,5.0,True,8,24,1.66428
1-degree sweep,OFF,sin,60,0.86603,0.8660254037844386,4.59621556136991e-06,PASS,yes,5.0,True,8,24,0.86603
1-degree sweep,OFF,cos,60,0.5,0.5000000000000001,1.1102230246251565e-16,PASS,yes,5.0,True,8,24,0.50000
1-degree sweep,OFF,tan,60,1.73205,1.7320508075688767,8.07568876659559e-07,PASS,yes,5.0,True,8,24,1.73205
1-degree sweep,OFF,sin,61,0.87462,0.8746197071393957,2.928606042118531e-07,PASS,yes,5.0,True,8,24,0.87462
1-degree sweep,OFF,cos,61,0.48481,0.4848096202463371,3.797536629046583e-07,PASS,yes,5.0,True,8,24,0.48481
1-degree sweep,OFF,tan,61,1.80404,1.8040477552714236,7.755271423492971e-06,FAIL,yes,5.0,True,8,24,1.80404
1-degree sweep,OFF,sin,62,0.88295,0.8829475928589269,2.4071410731352216e-06,PASS,yes,5.0,True,8,24,0.88295
1-degree sweep,OFF,cos,62,0.46947,0.46947156278589086,1.5627858908628944e-06,PASS,yes,5.0,True,8,24,0.46947
1-degree sweep,OFF,tan,62,1.88073,1.8807264653463318,3.534653668202381e-06,PASS,yes,5.0,True,8,24,1.88073
1-degree sweep,OFF,sin,63,0.89101,0.8910065241883678,3.475811632180914e-06,PASS,yes,5.0,True,8,24,0.89101
1-degree sweep,OFF,cos,63,0.45399,0.4539904997395468,4.997395467998267e-07,PASS,yes,5.0,True,8,24,0.45399
1-degree sweep,OFF,tan,63,1.96261,1.9626105055051504,5.05505150405483e-07,PASS,yes,5.0,True,8,24,1.96261
1-degree sweep,OFF,sin,64,0.89879,0.898794046299167,4.046299167059786e-06,PASS,yes,5.0,True,8,24,0.89879
1-degree sweep,OFF,cos,64,0.43837,0.43837114678907746,1.1467890774774503e-06,PASS,yes,5.0,True,8,24,0.43837
1-degree sweep,OFF,tan,64,2.0503,2.050303841579296,3.8415792960044826e-06,PASS,yes,5.0,True,8,24,2.05030
1-degree sweep,OFF,sin,65,0.90631,0.9063077870366499,2.212963350012309e-06,PASS,yes,5.0,True,8,24,0.90631
1-degree sweep,OFF,cos,65,0.42262,0.42261826174069944,1.738259300554379e-06,PASS,yes,5.0,True,8,24,0.42262
1-degree sweep,OFF,tan,65,2.14451,2.1445069205095586,3.0794904413156132e-06,PASS,yes,5.0,True,8,24,2.14451
1-degree sweep,OFF,sin,66,0.91355,0.9135454576426009,4.542357399106578e-06,PASS,yes,5.0,True,8,24,0.91355
1-degree sweep,OFF,cos,66,0.40674,0.4067366430758002,3.356924199782174e-06,PASS,yes,5.0,True,8,24,0.40674
1-degree sweep,OFF,tan,66,2.14451,2.2460367739042164,0.1015267739042165,FAIL,no,5.0,True,8,24,2.14451
1-degree sweep,OFF,sin,67,0.9205,0.9205048534524404,4.853452440389816e-06,PASS,yes,5.0,True,8,24,0.92050
1-degree sweep,OFF,cos,67,0.39073,0.3907311284892737,1.1284892736940222e-06,PASS,yes,5.0,True,8,24,0.39073
1-degree sweep,OFF,tan,67,2.35585,2.355852365823753,2.3658237529033954e-06,PASS,yes,5.0,True,8,24,2.35585
1-degree sweep,OFF,sin,68,0.92718,0.9271838545667874,3.854566787420133e-06,PASS,yes,5.0,True,8,24,0.92718
1-degree sweep,OFF,cos,68,0.37461,0.37460659341591196,3.4065840880392884e-06,PASS,yes,5.0,True,8,24,0.37461
1-degree sweep,OFF,tan,68,2.47509,2.4750868534162964,3.1465837033728405e-06,PASS,yes,5.0,True,8,24,2.47509
1-degree sweep,OFF,sin,69,0.93358,0.9335804264972017,4.264972017775648e-07,PASS,yes,5.0,True,8,24,0.93358
1-degree sweep,OFF,cos,69,0.35837,0.3583679495453004,2.05045469964249e-06,PASS,yes,5.0,True,8,24,0.35837
1-degree sweep,OFF,tan,69,2.60509,2.6050890646938005,9.35306199600916e-07,PASS,yes,5.0,True,8,24,2.60509
1-degree sweep,OFF,sin,70,0.93969,0.9396926207859083,2.620785908291623e-06,PASS,yes,5.0,True,8,24,0.93969
1-degree sweep,OFF,cos,70,0.34202,0.3420201433256688,1.433256688332385e-07,PASS,yes,5.0,True,8,24,0.34202
1-degree sweep,OFF,tan,70,2.74748,2.7474774194546216,2.5805453782723475e-06,PASS,yes,5.0,True,8,24,2.74748
1-degree sweep,OFF,sin,71,0.94552,0.9455185755993167,1.4244006832919709e-06,PASS,yes,5.0,True,8,24,0.94552
1-degree sweep,OFF,cos,71,0.32557,0.32556815445715676,1.8455428432706533e-06,PASS,yes,5.0,True,8,24,0.32557
1-degree sweep,OFF,tan,71,2.90421,2.904210877675822,8.776758222417413e-07,PASS,yes,5.0,True,8,24,2.90421
